Year,Inflation Rate (ARIMA),Lower CI (ARIMA),Upper CI (ARIMA)
2024,8.127411270663368,-5.38900110925875,21.643823650585485
2025,8.480715738490883,-8.39708864757759,25.358520124559355
2026,8.480715738490883,-8.505765613780685,25.46719709076245
2027,8.480715738490883,-8.613751687192408,25.575183164174174
2028,8.480715738490883,-8.721059879288362,25.682491356270127
